Gene_ID,Gene_Name,Nutrient,Impact_on_Gene,Interaction_Type,Expression_Level,Daily_Intake_mg,Risk_Score,Population
GENE6635,APOA1,Omega-3,Downregulation,Reduces,Moderate,80.45,7.21,Caucasian
GENE5333,SOD2,Selenium,Upregulation,Reduces,Variable,10.54,4.06,Caucasian
GENE1711,TCF7L2,Omega-3,No effect,Neutral,Variable,63.61,2.12,African American
GENE8527,TCF7L2,Selenium,Downregulation,Neutral,High,55.26,6.54,Asian
GENE9785,GPX1,Zinc,Downregulation,Neutral,Moderate,74.76,5.23,General
GENE3045,SOD2,Zinc,Upregulation,Reduces,Moderate,84.27,9.4,African American
GENE7201,TCF7L2,Selenium,Downregulation,Neutral,Variable,12.4,8.7,Caucasian
GENE2291,APOA1,Vitamin D,No effect,Enhances,High,25.51,5.37,Caucasian
GENE5803,MTHFR,Omega-3,No effect,Enhances,Variable,54.35,7.41,African American
GENE6925,SOD2,Zinc,Upregulation,Neutral,High,14.62,2.33,General
GENE4150,APOA1,Omega-3,Upregulation,Neutral,Variable,26.95,0.72,African American
GENE2139,GPX1,Zinc,Downregulation,Reduces,Variable,41.61,7.35,General
GENE1750,GPX1,Folate,No effect,Neutral,High,23.35,4.89,African American
GENE4733,TCF7L2,Selenium,Downregulation,Neutral,Variable,67.4,0.19,Asian
GENE5741,GPX1,Zinc,No effect,Neutral,High,59.15,9.07,Caucasian
GENE2307,MTHFR,Selenium,No effect,Neutral,Moderate,95.01,6.18,Asian
GENE4814,APOA1,Folate,Upregulation,Reduces,High,58.05,2.43,African American
GENE2654,SOD2,Omega-3,Downregulation,Reduces,High,58.02,6.49,Asian
GENE7227,TCF7L2,Selenium,No effect,Neutral,Variable,75.88,0.14,General
GENE5554,SOD2,Zinc,Upregulation,Enhances,Variable,77.8,6.33,African American
GENE8428,APOA1,Folate,No effect,Reduces,Variable,59.77,9.05,General
GENE6977,MTHFR,Zinc,Upregulation,Enhances,High,69.08,8.21,Asian
GENE3664,APOA1,Folate,Upregulation,Reduces,Variable,71.74,0.97,Caucasian
GENE7065,APOA1,Folate,Upregulation,Reduces,Variable,45.57,6.11,African American
GENE6820,TCF7L2,Zinc,Downregulation,Neutral,Moderate,14.89,8.35,General
GENE4432,SOD2,Selenium,Upregulation,Reduces,Moderate,80.28,0.64,Asian
GENE5374,APOA1,Omega-3,Upregulation,Reduces,High,57.25,8.17,African American
GENE2169,APOA1,Omega-3,No effect,Reduces,High,52.95,1.14,Caucasian
GENE3803,MTHFR,Folate,Upregulation,Neutral,Moderate,67.47,5.95,African American
GENE9751,GPX1,Zinc,No effect,Neutral,High,55.72,6.16,Caucasian
GENE5010,MTHFR,Folate,No effect,Neutral,High,61.99,0.63,Asian
GENE3677,SOD2,Omega-3,Downregulation,Reduces,Moderate,93.68,2.03,General
GENE8573,SOD2,Folate,Upregulation,Enhances,Moderate,90.74,3.37,African American
GENE7216,TCF7L2,Folate,Upregulation,Enhances,High,57.26,8.36,African American
GENE5422,GPX1,Omega-3,No effect,Neutral,High,99.7,7.38,General
GENE4598,SOD2,Selenium,Downregulation,Enhances,Variable,85.26,4.02,African American
GENE6313,GPX1,Folate,Upregulation,Enhances,High,44.17,1.21,African American
GENE1916,MTHFR,Selenium,Downregulation,Neutral,Variable,65.16,6.84,African American
GENE4752,SOD2,Folate,No effect,Reduces,Moderate,83.48,5.46,African American
GENE1525,APOA1,Zinc,Upregulation,Neutral,Moderate,35.73,3.22,General
GENE6168,SOD2,Folate,Downregulation,Reduces,Moderate,27.87,9.65,Asian
GENE7572,GPX1,Folate,Upregulation,Neutral,Moderate,56.83,2.13,African American
GENE5386,SOD2,Vitamin D,Upregulation,Enhances,High,40.63,0.46,General
GENE2084,TCF7L2,Zinc,Downregulation,Neutral,High,57.27,1.73,Asian
GENE4456,APOA1,Zinc,Upregulation,Enhances,Variable,75.73,0.63,General
GENE6155,TCF7L2,Selenium,No effect,Neutral,Moderate,39.2,2.74,Caucasian
GENE4483,MTHFR,Selenium,Upregulation,Reduces,High,47.98,7.58,Asian
GENE9179,SOD2,Folate,Upregulation,Reduces,Variable,96.18,1.68,Asian
GENE7482,SOD2,Omega-3,Downregulation,Reduces,Variable,5.02,3.7,Caucasian
GENE8517,MTHFR,Folate,Downregulation,Reduces,Variable,8.29,1.65,Asian
GENE3340,TCF7L2,Vitamin D,Downregulation,Reduces,Moderate,32.03,2.44,Asian
GENE5339,APOA1,Folate,Upregulation,Reduces,Variable,6.55,5.82,Caucasian
GENE3287,TCF7L2,Vitamin D,Downregulation,Neutral,Moderate,17.83,1.33,General
GENE5040,GPX1,Folate,Upregulation,Enhances,Variable,89.58,7.91,African American
GENE9830,TCF7L2,Selenium,No effect,Neutral,Variable,5.62,6.32,Asian
GENE5304,APOA1,Folate,No effect,Neutral,Variable,98.52,3.76,General
GENE8019,SOD2,Selenium,Upregulation,Neutral,High,25.41,1.58,General
GENE7543,TCF7L2,Omega-3,Upregulation,Enhances,Moderate,34.92,8.8,Caucasian
GENE6930,MTHFR,Omega-3,No effect,Reduces,Variable,78.29,0.81,General
GENE4593,APOA1,Zinc,No effect,Neutral,Moderate,94.62,0.07,Caucasian
GENE3266,SOD2,Folate,Upregulation,Neutral,Moderate,83.12,9.26,General
GENE9348,APOA1,Zinc,No effect,Enhances,Variable,92.32,7.07,African American
GENE9085,MTHFR,Folate,No effect,Neutral,Variable,53.57,5.94,General
GENE2489,GPX1,Omega-3,Upregulation,Neutral,High,59.21,2.84,General
GENE1771,APOA1,Vitamin D,Downregulation,Neutral,Variable,59.3,6.94,General
GENE2796,APOA1,Zinc,Downregulation,Reduces,Moderate,13.96,7.92,Caucasian
GENE3504,TCF7L2,Zinc,No effect,Neutral,Moderate,48.74,4.76,Asian
GENE3621,MTHFR,Omega-3,Upregulation,Reduces,High,19.83,1.27,Caucasian
GENE7916,MTHFR,Omega-3,No effect,Neutral,Variable,30.17,1.43,African American
GENE2040,GPX1,Vitamin D,No effect,Reduces,Moderate,89.51,2.71,Caucasian
GENE7304,MTHFR,Zinc,Upregulation,Enhances,Moderate,28.74,4.5,Asian
GENE7252,APOA1,Omega-3,Downregulation,Neutral,Moderate,29.34,2.39,African American
GENE8668,GPX1,Omega-3,No effect,Neutral,Moderate,33.53,1.75,Asian
GENE9669,MTHFR,Vitamin D,No effect,Enhances,Moderate,59.2,6.92,Asian
GENE5119,GPX1,Vitamin D,Downregulation,Reduces,Variable,59.06,5.96,African American
GENE1188,MTHFR,Selenium,Upregulation,Enhances,High,25.66,7.17,Asian
GENE2876,MTHFR,Folate,Upregulation,Reduces,Variable,12.33,6.12,Caucasian
GENE9797,TCF7L2,Selenium,Upregulation,Enhances,High,35.85,0.88,Asian
GENE5371,MTHFR,Vitamin D,Upregulation,Neutral,Moderate,50.84,8.26,General
GENE6573,GPX1,Omega-3,Upregulation,Reduces,High,51.39,3.01,Caucasian
GENE2827,APOA1,Vitamin D,No effect,Neutral,High,90.41,4.19,Asian
GENE5808,TCF7L2,Zinc,No effect,Neutral,High,71.77,5.58,General
GENE8123,MTHFR,Omega-3,Downregulation,Enhances,Variable,82.85,1.92,Caucasian
GENE3591,MTHFR,Selenium,Downregulation,Neutral,Variable,14.06,9.87,African American
GENE8433,GPX1,Selenium,Downregulation,Reduces,Moderate,66.01,9.77,Caucasian
GENE1053,TCF7L2,Selenium,Downregulation,Neutral,High,8.55,6.19,African American
GENE5315,MTHFR,Omega-3,Upregulation,Enhances,High,81.79,8.63,Caucasian
GENE9201,APOA1,Folate,Upregulation,Enhances,High,41.25,9.87,General
GENE3927,APOA1,Folate,Downregulation,Reduces,High,79.11,5.08,African American
GENE9317,MTHFR,Folate,No effect,Enhances,Moderate,92.58,4.64,Caucasian
GENE2743,APOA1,Vitamin D,Upregulation,Neutral,Variable,36.77,6.26,African American
GENE5889,TCF7L2,Vitamin D,Upregulation,Reduces,Variable,88.58,2.08,Asian
GENE9317,MTHFR,Zinc,No effect,Reduces,High,46.26,0.53,Caucasian
GENE4258,GPX1,Omega-3,No effect,Reduces,Variable,93.37,1.13,Caucasian
GENE3504,TCF7L2,Zinc,No effect,Reduces,High,16.45,1.49,General
GENE7126,APOA1,Vitamin D,No effect,Reduces,Moderate,78.19,8.44,General
GENE3646,MTHFR,Omega-3,No effect,Neutral,Moderate,76.03,9.11,General
GENE9837,TCF7L2,Selenium,Downregulation,Reduces,Variable,85.7,4.98,African American
GENE9689,APOA1,Omega-3,No effect,Reduces,High,93.22,1.6,Caucasian
GENE1009,MTHFR,Vitamin D,Upregulation,Enhances,Moderate,65.22,9.23,African American
GENE6310,SOD2,Selenium,No effect,Reduces,Variable,65.06,0.54,Caucasian
GENE9005,GPX1,Selenium,Downregulation,Enhances,Moderate,10.14,3.64,General
GENE1319,APOA1,Omega-3,Upregulation,Neutral,Moderate,54.82,2.1,African American
GENE2832,APOA1,Folate,No effect,Neutral,High,35.34,2.51,Asian
GENE6947,SOD2,Vitamin D,No effect,Neutral,Variable,58.67,6.17,Asian
GENE6038,SOD2,Vitamin D,No effect,Neutral,High,36.05,8.9,Caucasian
GENE4923,TCF7L2,Folate,Upregulation,Enhances,Variable,71.29,4.53,African American
GENE1949,GPX1,Zinc,No effect,Reduces,Moderate,19.55,1.04,African American
GENE4946,GPX1,Zinc,Downregulation,Enhances,High,69.0,0.52,Caucasian
GENE2290,APOA1,Vitamin D,Downregulation,Neutral,High,99.75,5.37,Caucasian
GENE2403,SOD2,Folate,No effect,Enhances,High,97.25,1.58,General
GENE8962,GPX1,Folate,Upregulation,Neutral,High,76.52,0.29,Caucasian
GENE2133,MTHFR,Selenium,Upregulation,Reduces,Variable,59.65,5.15,General
GENE9727,GPX1,Zinc,Downregulation,Neutral,Variable,13.56,0.71,African American
GENE3060,APOA1,Zinc,Downregulation,Reduces,High,46.03,2.35,Asian
GENE3103,GPX1,Selenium,Upregulation,Reduces,High,79.7,4.45,Asian
GENE8787,TCF7L2,Omega-3,Upregulation,Enhances,Variable,19.06,5.8,General
GENE3705,SOD2,Zinc,Downregulation,Enhances,Variable,36.94,4.19,Caucasian
GENE5342,APOA1,Selenium,No effect,Enhances,High,50.21,7.47,Caucasian
GENE9645,APOA1,Folate,No effect,Enhances,Variable,75.8,8.98,Asian
GENE7932,SOD2,Omega-3,Upregulation,Reduces,High,57.07,2.3,Asian
GENE4470,SOD2,Vitamin D,No effect,Reduces,High,29.94,1.1,General
GENE9835,SOD2,Folate,Upregulation,Neutral,High,42.86,2.28,General
GENE4295,APOA1,Omega-3,Downregulation,Reduces,Moderate,46.28,2.37,African American
GENE6107,SOD2,Selenium,Downregulation,Enhances,High,71.3,4.13,Asian
GENE7537,SOD2,Folate,Upregulation,Reduces,Variable,77.39,2.0,Caucasian
GENE7118,APOA1,Omega-3,Downregulation,Neutral,Moderate,50.69,8.91,African American
GENE8177,APOA1,Vitamin D,No effect,Enhances,Variable,23.82,0.74,General
GENE9479,TCF7L2,Folate,Downregulation,Enhances,Variable,42.56,5.85,General
GENE8397,GPX1,Folate,Downregulation,Reduces,Variable,59.28,0.54,African American
GENE2982,MTHFR,Zinc,No effect,Reduces,High,58.31,4.36,Asian
GENE5061,APOA1,Omega-3,No effect,Neutral,Variable,99.72,2.16,African American
GENE4681,MTHFR,Omega-3,Upregulation,Enhances,Variable,54.8,6.09,Caucasian
GENE2049,TCF7L2,Zinc,Downregulation,Reduces,Variable,28.02,1.78,African American
GENE6539,GPX1,Selenium,Upregulation,Neutral,Moderate,30.29,3.73,Asian
GENE1344,GPX1,Selenium,Upregulation,Enhances,High,45.86,4.58,General
GENE4770,GPX1,Zinc,No effect,Enhances,High,70.05,1.94,General
GENE4608,TCF7L2,Folate,Upregulation,Reduces,Moderate,59.72,3.59,General
GENE1117,SOD2,Vitamin D,Upregulation,Reduces,Variable,15.69,2.7,General
GENE2163,GPX1,Selenium,Downregulation,Enhances,Moderate,44.29,3.36,African American
GENE1964,GPX1,Vitamin D,Upregulation,Enhances,Moderate,39.7,0.32,General
GENE4750,TCF7L2,Omega-3,Upregulation,Neutral,High,23.1,5.69,Caucasian
GENE2104,SOD2,Omega-3,Upregulation,Enhances,High,37.73,2.81,General
GENE1514,GPX1,Selenium,Downregulation,Reduces,Moderate,67.26,1.11,African American
GENE6413,GPX1,Folate,No effect,Enhances,Variable,78.12,4.66,Asian
GENE2160,SOD2,Omega-3,Downregulation,Enhances,High,21.08,4.18,General
GENE9423,APOA1,Vitamin D,No effect,Neutral,Variable,38.22,7.6,General
GENE4899,APOA1,Folate,No effect,Reduces,High,83.05,2.2,Caucasian
GENE5562,GPX1,Selenium,No effect,Neutral,Variable,81.27,2.95,Caucasian
GENE8953,MTHFR,Omega-3,Downregulation,Reduces,Variable,64.2,1.57,African American
GENE4510,SOD2,Selenium,Downregulation,Reduces,Variable,46.84,7.95,General
GENE9834,SOD2,Folate,No effect,Reduces,Moderate,92.8,9.53,Asian
GENE3167,MTHFR,Folate,Downregulation,Reduces,High,27.18,9.06,Asian
GENE8744,SOD2,Folate,Upregulation,Reduces,Variable,70.11,5.78,General
GENE4981,TCF7L2,Zinc,No effect,Enhances,Variable,19.82,5.53,Caucasian
GENE8749,SOD2,Zinc,No effect,Enhances,Moderate,74.21,2.3,African American
GENE7669,SOD2,Vitamin D,No effect,Neutral,Moderate,13.15,4.12,General
GENE4119,SOD2,Folate,No effect,Enhances,Variable,75.26,5.22,General
GENE2545,APOA1,Folate,Upregulation,Neutral,Variable,28.09,8.62,Caucasian
GENE2588,TCF7L2,Omega-3,Downregulation,Reduces,High,64.0,2.16,General
GENE8062,SOD2,Vitamin D,Upregulation,Enhances,High,19.03,4.73,African American
GENE6804,TCF7L2,Vitamin D,Downregulation,Reduces,Moderate,84.08,4.63,Asian
GENE7939,TCF7L2,Selenium,Upregulation,Neutral,Moderate,32.33,0.15,Asian
GENE7735,TCF7L2,Folate,No effect,Enhances,High,37.61,4.28,African American
GENE8651,MTHFR,Omega-3,Upregulation,Enhances,High,81.41,8.73,Asian
GENE1887,SOD2,Selenium,Upregulation,Neutral,High,33.99,2.48,General
GENE2612,APOA1,Zinc,No effect,Enhances,High,49.76,4.34,African American
GENE1993,APOA1,Folate,Downregulation,Neutral,Variable,36.53,2.22,Caucasian
GENE7596,APOA1,Vitamin D,Downregulation,Neutral,Variable,75.3,9.27,Caucasian
GENE6559,APOA1,Folate,No effect,Enhances,Variable,25.13,9.46,Caucasian
GENE2790,SOD2,Folate,No effect,Enhances,Moderate,56.91,9.14,Caucasian
GENE5073,APOA1,Zinc,No effect,Neutral,High,76.28,8.98,General
GENE4139,TCF7L2,Omega-3,No effect,Reduces,Variable,57.14,4.18,General
GENE4116,MTHFR,Omega-3,No effect,Reduces,High,64.19,0.44,Caucasian
GENE9786,GPX1,Omega-3,Upregulation,Enhances,High,99.27,9.91,General
GENE8350,APOA1,Selenium,Downregulation,Enhances,Moderate,71.03,7.33,African American
GENE3296,GPX1,Omega-3,No effect,Reduces,Variable,68.48,5.04,African American
GENE7912,GPX1,Selenium,Downregulation,Neutral,Variable,40.78,4.26,African American
GENE4006,GPX1,Zinc,No effect,Neutral,High,91.07,3.94,Caucasian
GENE5563,TCF7L2,Folate,Upregulation,Reduces,Variable,55.05,8.1,Caucasian
GENE8579,APOA1,Selenium,Upregulation,Enhances,Variable,29.27,6.97,Caucasian
GENE5092,SOD2,Zinc,Upregulation,Enhances,High,10.71,0.98,General
GENE2235,TCF7L2,Selenium,Upregulation,Enhances,High,24.07,4.95,Asian
GENE8260,SOD2,Zinc,Downregulation,Reduces,Moderate,71.17,0.83,Asian
GENE2604,APOA1,Omega-3,Upregulation,Reduces,Variable,30.77,7.53,General
GENE1828,TCF7L2,Omega-3,Downregulation,Reduces,High,49.17,6.93,Caucasian
GENE9856,GPX1,Zinc,No effect,Neutral,Variable,94.79,4.07,Caucasian
GENE1241,TCF7L2,Vitamin D,No effect,Neutral,Variable,11.33,2.18,General
GENE2528,TCF7L2,Zinc,Upregulation,Neutral,High,67.74,3.58,African American
GENE4872,APOA1,Selenium,Downregulation,Neutral,Variable,67.98,2.39,African American
GENE3724,GPX1,Zinc,No effect,Reduces,Variable,91.72,9.99,General
GENE7658,GPX1,Folate,No effect,Reduces,Moderate,39.22,0.16,General
GENE8956,MTHFR,Vitamin D,No effect,Neutral,Variable,15.25,6.69,African American
GENE8886,MTHFR,Zinc,No effect,Enhances,Moderate,32.79,1.62,African American
GENE4502,SOD2,Vitamin D,Upregulation,Reduces,Moderate,88.92,4.59,Asian
GENE7570,MTHFR,Vitamin D,Upregulation,Reduces,High,41.72,5.7,Asian
GENE1960,APOA1,Zinc,Upregulation,Reduces,Variable,98.08,5.84,Asian
GENE3697,TCF7L2,Zinc,No effect,Enhances,Variable,53.31,9.76,Caucasian
GENE7209,GPX1,Omega-3,Upregulation,Enhances,Moderate,72.42,4.64,African American
GENE1035,TCF7L2,Zinc,No effect,Reduces,High,90.87,1.39,Caucasian
GENE7396,APOA1,Zinc,Upregulation,Enhances,Moderate,51.04,7.03,General
GENE5345,TCF7L2,Omega-3,Upregulation,Enhances,Moderate,61.73,1.85,Caucasian
GENE8454,GPX1,Omega-3,Downregulation,Enhances,Moderate,13.36,8.72,Caucasian
GENE5673,MTHFR,Folate,Downregulation,Neutral,Variable,23.89,6.27,General
GENE7930,SOD2,Zinc,No effect,Enhances,Variable,96.85,7.04,Caucasian
GENE8973,GPX1,Selenium,No effect,Enhances,Variable,58.27,0.01,Caucasian
GENE3536,GPX1,Vitamin D,No effect,Neutral,Variable,72.68,6.27,Asian
GENE4111,GPX1,Omega-3,Downregulation,Enhances,High,8.78,3.85,General
GENE5861,GPX1,Zinc,Upregulation,Neutral,Moderate,92.62,6.91,General
GENE4566,APOA1,Selenium,Downregulation,Neutral,High,33.97,5.31,General
GENE1958,GPX1,Vitamin D,Upregulation,Enhances,Moderate,51.54,2.97,General
GENE9883,TCF7L2,Zinc,No effect,Enhances,Moderate,75.72,7.53,African American
GENE1998,APOA1,Selenium,Downregulation,Reduces,High,6.75,6.98,African American
GENE6138,MTHFR,Vitamin D,No effect,Neutral,High,70.01,6.13,General
GENE1936,TCF7L2,Selenium,Upregulation,Neutral,Moderate,38.76,5.75,African American
GENE1821,TCF7L2,Omega-3,Upregulation,Enhances,Variable,33.72,2.07,Caucasian
GENE8811,TCF7L2,Zinc,Downregulation,Reduces,Variable,99.62,6.85,Asian
GENE9238,TCF7L2,Selenium,Downregulation,Neutral,Moderate,97.97,6.2,Asian
GENE9701,APOA1,Selenium,Downregulation,Reduces,Moderate,31.21,3.36,Caucasian
GENE3579,MTHFR,Zinc,No effect,Neutral,High,10.89,9.32,Asian
GENE1931,MTHFR,Vitamin D,Upregulation,Neutral,High,29.48,5.15,Caucasian
GENE9320,GPX1,Zinc,Downregulation,Enhances,Variable,41.78,9.1,Caucasian
GENE2312,SOD2,Selenium,No effect,Neutral,Variable,100.0,3.64,Asian
GENE4044,APOA1,Folate,No effect,Enhances,High,99.08,0.52,Caucasian
GENE2122,MTHFR,Vitamin D,No effect,Neutral,Variable,94.69,3.83,Asian
GENE2113,APOA1,Selenium,Upregulation,Enhances,Variable,95.17,4.65,General
GENE4853,APOA1,Folate,Downregulation,Neutral,High,26.43,0.41,Asian
GENE7615,GPX1,Vitamin D,Downregulation,Enhances,Variable,37.47,3.66,Asian
GENE2964,MTHFR,Omega-3,No effect,Enhances,High,42.32,6.48,General
GENE5033,SOD2,Zinc,Downregulation,Neutral,Moderate,18.04,7.05,Asian
GENE1651,SOD2,Vitamin D,Upregulation,Enhances,Variable,74.34,5.61,Caucasian
GENE2343,SOD2,Vitamin D,Downregulation,Reduces,High,54.47,7.74,African American
GENE7868,TCF7L2,Selenium,No effect,Reduces,Variable,69.41,1.38,General
GENE9565,MTHFR,Folate,Upregulation,Reduces,Moderate,87.91,3.35,Asian
GENE6183,TCF7L2,Vitamin D,Downregulation,Enhances,Moderate,70.22,5.4,General
GENE5272,TCF7L2,Zinc,Upregulation,Neutral,Moderate,44.65,6.49,General
GENE4346,TCF7L2,Vitamin D,Downregulation,Reduces,High,59.43,7.37,Caucasian
GENE6147,GPX1,Vitamin D,Upregulation,Reduces,High,45.51,7.52,Caucasian
GENE4910,GPX1,Selenium,No effect,Neutral,Moderate,34.68,8.71,Asian
GENE5351,APOA1,Vitamin D,No effect,Enhances,Variable,62.51,7.03,Asian
GENE7484,APOA1,Folate,No effect,Enhances,Variable,47.67,7.53,General
GENE3144,MTHFR,Selenium,Upregulation,Neutral,Moderate,17.52,7.61,General
GENE5915,MTHFR,Omega-3,Upregulation,Neutral,Moderate,66.98,3.2,General
GENE8491,GPX1,Omega-3,No effect,Neutral,Variable,60.2,8.98,Caucasian
GENE6180,APOA1,Selenium,No effect,Enhances,Moderate,69.98,5.04,General
GENE2188,APOA1,Folate,Upregulation,Reduces,Variable,24.22,4.23,Asian
GENE1152,TCF7L2,Selenium,Upregulation,Reduces,Moderate,18.12,0.54,Asian
GENE8508,SOD2,Selenium,Upregulation,Neutral,Variable,70.41,3.73,African American
GENE2638,SOD2,Selenium,Upregulation,Enhances,Moderate,90.37,4.52,General
GENE2200,SOD2,Selenium,Upregulation,Neutral,Variable,91.41,5.01,Caucasian
GENE9808,GPX1,Vitamin D,Downregulation,Neutral,Moderate,45.86,8.3,African American
GENE4492,SOD2,Zinc,Downregulation,Reduces,High,91.36,4.7,Caucasian
GENE9288,SOD2,Omega-3,Downregulation,Neutral,Moderate,78.15,5.32,Caucasian
GENE5345,TCF7L2,Folate,Upregulation,Neutral,Variable,67.34,8.25,General
GENE3170,MTHFR,Vitamin D,Upregulation,Neutral,Variable,58.66,8.99,General
GENE6718,GPX1,Omega-3,Upregulation,Enhances,Moderate,20.01,4.52,General
GENE2127,APOA1,Zinc,No effect,Reduces,High,11.44,3.68,African American
GENE5002,TCF7L2,Selenium,No effect,Enhances,Moderate,55.63,6.73,Caucasian
GENE7054,SOD2,Zinc,No effect,Neutral,Variable,73.35,6.93,General
GENE5669,APOA1,Omega-3,No effect,Neutral,Variable,22.49,9.78,General
GENE3584,TCF7L2,Omega-3,Downregulation,Neutral,Moderate,84.75,8.83,General
GENE8179,GPX1,Vitamin D,Upregulation,Enhances,Moderate,18.82,1.88,General
GENE9900,SOD2,Vitamin D,Downregulation,Reduces,Moderate,7.8,8.84,Asian
GENE5956,GPX1,Folate,Upregulation,Enhances,Variable,35.28,0.87,Caucasian
GENE9666,TCF7L2,Selenium,Downregulation,Enhances,Moderate,97.43,3.91,Caucasian
GENE1128,APOA1,Zinc,No effect,Reduces,Variable,96.31,1.79,General
GENE5905,MTHFR,Selenium,Downregulation,Enhances,Moderate,33.82,9.58,African American
GENE2697,SOD2,Zinc,Downregulation,Neutral,Variable,75.83,0.77,Caucasian
GENE3200,GPX1,Selenium,Upregulation,Enhances,High,83.06,1.65,African American
GENE5333,APOA1,Omega-3,No effect,Reduces,Variable,65.5,1.12,General
GENE2891,APOA1,Omega-3,Downregulation,Neutral,High,75.14,1.48,General
GENE2753,MTHFR,Selenium,Upregulation,Enhances,Variable,19.44,1.5,Caucasian
GENE3546,TCF7L2,Folate,No effect,Reduces,High,22.85,2.04,General
GENE5462,MTHFR,Omega-3,No effect,Neutral,Moderate,17.5,9.52,African American
GENE5616,MTHFR,Folate,Upregulation,Reduces,Variable,7.49,0.23,General
GENE4450,TCF7L2,Omega-3,Upregulation,Reduces,High,98.67,4.17,General
GENE6617,TCF7L2,Vitamin D,Upregulation,Enhances,High,63.61,6.82,Caucasian
GENE4335,TCF7L2,Vitamin D,No effect,Enhances,High,62.53,9.32,Asian
GENE5325,APOA1,Selenium,Upregulation,Neutral,Variable,63.17,4.74,African American
GENE9280,APOA1,Zinc,Downregulation,Reduces,Moderate,61.65,4.2,Asian
GENE9004,SOD2,Vitamin D,Upregulation,Enhances,Moderate,26.94,7.38,General
GENE5114,SOD2,Omega-3,Downregulation,Neutral,Variable,7.48,0.21,African American
GENE1832,MTHFR,Omega-3,Downregulation,Reduces,Variable,12.55,1.89,General
GENE2512,MTHFR,Vitamin D,Downregulation,Reduces,Variable,79.08,0.22,Asian
GENE7939,SOD2,Vitamin D,Downregulation,Enhances,Variable,17.74,8.02,Asian
GENE5533,GPX1,Zinc,Upregulation,Enhances,Variable,85.38,8.35,African American
GENE1722,MTHFR,Vitamin D,No effect,Enhances,High,49.53,5.2,General
GENE1058,GPX1,Selenium,Downregulation,Neutral,High,66.71,3.36,Asian
GENE6464,GPX1,Zinc,Upregulation,Enhances,Moderate,22.48,5.79,African American
